Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Buteo buteo,Common Buzzard,0.5265,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
93.0,96.0,Curruca communis,Greater Whitethroat,0.1095,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
159.0,162.0,Passer domesticus,House Sparrow,0.1258,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
165.0,168.0,Passer domesticus,House Sparrow,0.1304,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
168.0,171.0,Passer domesticus,House Sparrow,0.2554,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
198.0,201.0,Passer domesticus,House Sparrow,0.1604,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
207.0,210.0,Emberiza schoeniclus,Reed Bunting,0.1125,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
249.0,252.0,Curruca communis,Greater Whitethroat,0.1019,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
258.0,261.0,Passer domesticus,House Sparrow,0.1028,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
294.0,297.0,Tringa totanus,Common Redshank,0.1046,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
300.0,303.0,Parus major,Great Tit,0.4041,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
309.0,312.0,Parus major,Great Tit,0.1592,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
315.0,318.0,Emberiza schoeniclus,Reed Bunting,0.1008,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
321.0,324.0,Parus major,Great Tit,0.1096,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
324.0,327.0,Emberiza schoeniclus,Reed Bunting,0.1393,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
336.0,339.0,Rallus aquaticus,Water Rail,0.1160,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
342.0,345.0,Turdus merula,Eurasian Blackbird,0.1046,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
345.0,348.0,Emberiza schoeniclus,Reed Bunting,0.1237,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
345.0,348.0,Parus major,Great Tit,0.1105,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
348.0,351.0,Parus major,Great Tit,0.2599,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
348.0,351.0,Emberiza schoeniclus,Reed Bunting,0.1608,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
375.0,378.0,Parus major,Great Tit,0.1529,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
381.0,384.0,Emberiza schoeniclus,Reed Bunting,0.1359,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
381.0,384.0,Rallus aquaticus,Water Rail,0.1291,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
390.0,393.0,Emberiza schoeniclus,Reed Bunting,0.1275,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
399.0,402.0,Buteo buteo,Common Buzzard,0.4826,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
405.0,408.0,Acrocephalus scirpaceus,Eurasian Reed Warbler,0.1395,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
411.0,414.0,Locustella luscinioides,Savi's Warbler,0.1298,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
411.0,414.0,Acrocephalus arundinaceus,Great Reed Warbler,0.1166,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
414.0,417.0,Rallus aquaticus,Water Rail,0.1274,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
414.0,417.0,Acrocephalus arundinaceus,Great Reed Warbler,0.1173,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
417.0,420.0,Emberiza schoeniclus,Reed Bunting,0.1705,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
417.0,420.0,Curruca communis,Greater Whitethroat,0.1210,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
432.0,435.0,Parus major,Great Tit,0.1732,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
444.0,447.0,Parus major,Great Tit,0.1516,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
489.0,492.0,Phylloscopus collybita,Common Chiffchaff,0.1782,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
489.0,492.0,Emberiza schoeniclus,Reed Bunting,0.1499,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
498.0,501.0,Parus major,Great Tit,0.1119,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
510.0,513.0,Phylloscopus collybita,Common Chiffchaff,0.1920,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
513.0,516.0,Emberiza schoeniclus,Reed Bunting,0.1236,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
570.0,573.0,Parus major,Great Tit,0.1680,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
594.0,597.0,Parus major,Great Tit,0.3029,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
597.0,600.0,Parus major,Great Tit,0.3754,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250427_140000.WAV
