Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Hippolais polyglotta,Melodious Warbler,0.2324,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
12.0,15.0,Sylvia atricapilla,Eurasian Blackcap,0.3523,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
18.0,21.0,Alauda arvensis,Eurasian Skylark,0.1048,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
33.0,36.0,Curruca communis,Greater Whitethroat,0.2023,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
36.0,39.0,Sylvia borin,Garden Warbler,0.1131,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
39.0,42.0,Curruca communis,Greater Whitethroat,0.7276,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
45.0,48.0,Curruca communis,Greater Whitethroat,0.3306,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
51.0,54.0,Curruca communis,Greater Whitethroat,0.3568,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
54.0,57.0,Curruca communis,Greater Whitethroat,0.2480,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
63.0,66.0,Curruca communis,Greater Whitethroat,0.1002,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
69.0,72.0,Curruca communis,Greater Whitethroat,0.2718,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
72.0,75.0,Curruca communis,Greater Whitethroat,0.2658,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
75.0,78.0,Curruca communis,Greater Whitethroat,0.2736,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
93.0,96.0,Curruca communis,Greater Whitethroat,0.1399,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
111.0,114.0,Curruca communis,Greater Whitethroat,0.3195,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
111.0,114.0,Alauda arvensis,Eurasian Skylark,0.2097,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
129.0,132.0,Lanius collurio,Red-backed Shrike,0.1130,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
174.0,177.0,Acrocephalus scirpaceus,Eurasian Reed Warbler,0.1916,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
177.0,180.0,Sylvia atricapilla,Eurasian Blackcap,0.1531,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
198.0,201.0,Curruca communis,Greater Whitethroat,0.1326,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
207.0,210.0,Curruca communis,Greater Whitethroat,0.2596,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
225.0,228.0,Turdus merula,Eurasian Blackbird,0.1178,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
228.0,231.0,Curruca communis,Greater Whitethroat,0.1452,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
234.0,237.0,Curruca communis,Greater Whitethroat,0.4673,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
240.0,243.0,Curruca communis,Greater Whitethroat,0.2249,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
243.0,246.0,Turdus merula,Eurasian Blackbird,0.1296,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
267.0,270.0,Sylvia borin,Garden Warbler,0.1076,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
291.0,294.0,Phylloscopus trochilus,Willow Warbler,0.2590,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
291.0,294.0,Anthus trivialis,Tree Pipit,0.1074,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
300.0,303.0,Curruca communis,Greater Whitethroat,0.1931,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
309.0,312.0,Anas platyrhynchos,Mallard,0.2004,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
315.0,318.0,Carduelis carduelis,European Goldfinch,0.3962,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
318.0,321.0,Curruca communis,Greater Whitethroat,0.1564,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
321.0,324.0,Sylvia borin,Garden Warbler,0.1536,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
321.0,324.0,Curruca communis,Greater Whitethroat,0.1352,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
324.0,327.0,Sylvia borin,Garden Warbler,0.1207,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
327.0,330.0,Curruca communis,Greater Whitethroat,0.2877,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
330.0,333.0,Curruca communis,Greater Whitethroat,0.2169,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
330.0,333.0,Sylvia borin,Garden Warbler,0.1840,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
330.0,333.0,Hippolais polyglotta,Melodious Warbler,0.1302,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
333.0,336.0,Hippolais polyglotta,Melodious Warbler,0.1451,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
336.0,339.0,Sylvia borin,Garden Warbler,0.1266,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
342.0,345.0,Sylvia borin,Garden Warbler,0.1212,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
345.0,348.0,Curruca communis,Greater Whitethroat,0.3074,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
354.0,357.0,Hippolais polyglotta,Melodious Warbler,0.2859,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
354.0,357.0,Curruca communis,Greater Whitethroat,0.2494,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
363.0,366.0,Sylvia atricapilla,Eurasian Blackcap,0.1458,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
363.0,366.0,Sylvia borin,Garden Warbler,0.1215,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
363.0,366.0,Hippolais polyglotta,Melodious Warbler,0.1185,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
366.0,369.0,Hippolais polyglotta,Melodious Warbler,0.2520,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
384.0,387.0,Hippolais polyglotta,Melodious Warbler,0.1352,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
402.0,405.0,Turdus merula,Eurasian Blackbird,0.4015,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
402.0,405.0,Phylloscopus trochilus,Willow Warbler,0.1787,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
408.0,411.0,Turdus merula,Eurasian Blackbird,0.2174,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
408.0,411.0,Erithacus rubecula,European Robin,0.1187,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
411.0,414.0,Sylvia atricapilla,Eurasian Blackcap,0.2629,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
417.0,420.0,Sylvia borin,Garden Warbler,0.2719,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
417.0,420.0,Sylvia atricapilla,Eurasian Blackcap,0.2475,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
420.0,423.0,Lullula arborea,Wood Lark,0.1250,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
423.0,426.0,Sylvia atricapilla,Eurasian Blackcap,0.2633,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
438.0,441.0,Curruca communis,Greater Whitethroat,0.1425,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
453.0,456.0,Curruca communis,Greater Whitethroat,0.1307,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
456.0,459.0,Curruca communis,Greater Whitethroat,0.1598,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
465.0,468.0,Curruca communis,Greater Whitethroat,0.1750,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
468.0,471.0,Sylvia borin,Garden Warbler,0.2119,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
471.0,474.0,Curruca communis,Greater Whitethroat,0.1486,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
474.0,477.0,Curruca communis,Greater Whitethroat,0.1010,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
489.0,492.0,Curruca communis,Greater Whitethroat,0.1492,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
501.0,504.0,Curruca communis,Greater Whitethroat,0.1262,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
504.0,507.0,Curruca communis,Greater Whitethroat,0.1174,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
510.0,513.0,Curruca communis,Greater Whitethroat,0.1103,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
519.0,522.0,Curruca communis,Greater Whitethroat,0.1896,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
525.0,528.0,Curruca communis,Greater Whitethroat,0.5853,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
531.0,534.0,Alauda arvensis,Eurasian Skylark,0.1469,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
546.0,549.0,Sylvia borin,Garden Warbler,0.1576,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
549.0,552.0,Curruca communis,Greater Whitethroat,0.6203,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
558.0,561.0,Curruca communis,Greater Whitethroat,0.1085,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
561.0,564.0,Curruca communis,Greater Whitethroat,0.1117,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
570.0,573.0,Curruca communis,Greater Whitethroat,0.1048,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
573.0,576.0,Curruca communis,Greater Whitethroat,0.7073,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
573.0,576.0,Saxicola rubicola,European Stonechat,0.3155,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
576.0,579.0,Curruca communis,Greater Whitethroat,0.6971,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
582.0,585.0,Curruca communis,Greater Whitethroat,0.2296,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
582.0,585.0,Sylvia borin,Garden Warbler,0.1149,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
582.0,585.0,Sylvia atricapilla,Eurasian Blackcap,0.1046,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
585.0,588.0,Curruca communis,Greater Whitethroat,0.1504,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
588.0,591.0,Curruca communis,Greater Whitethroat,0.1305,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
591.0,594.0,Curruca communis,Greater Whitethroat,0.5684,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
594.0,597.0,Curruca communis,Greater Whitethroat,0.1821,F:/soundscape ecology/data/10m_1h/A027\20250429_100000.WAV
