Start (s),End (s),Scientific name,Common name,Confidence,File
51.0,54.0,Branta canadensis,Canada Goose,0.1036,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
63.0,66.0,Fulica atra,Eurasian Coot,0.1300,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
81.0,84.0,Gallinula chloropus,Eurasian Moorhen,0.1354,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
174.0,177.0,Gallinula chloropus,Eurasian Moorhen,0.2822,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
174.0,177.0,Fulica atra,Eurasian Coot,0.1897,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
264.0,267.0,Rallus aquaticus,Water Rail,0.1567,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
273.0,276.0,Pica pica,Eurasian Magpie,0.3865,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
348.0,351.0,Fulica atra,Eurasian Coot,0.1122,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
348.0,351.0,Gallinula chloropus,Eurasian Moorhen,0.1006,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
360.0,363.0,Rallus aquaticus,Water Rail,0.1807,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
522.0,525.0,Anas platyrhynchos,Mallard,0.1334,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
522.0,525.0,Gallinula chloropus,Eurasian Moorhen,0.1219,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
549.0,552.0,Rallus aquaticus,Water Rail,0.3639,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
597.0,600.0,Fulica atra,Eurasian Coot,0.1101,F:/soundscape ecology/data/10m_1h/A024\20250426_030000.WAV
