Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Parus major,Great Tit,0.1305,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
3.0,6.0,Lullula arborea,Wood Lark,0.1130,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
9.0,12.0,Phylloscopus collybita,Common Chiffchaff,0.3429,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
24.0,27.0,Parus major,Great Tit,0.2391,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
45.0,48.0,Phylloscopus collybita,Common Chiffchaff,0.1078,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
54.0,57.0,Curruca communis,Greater Whitethroat,0.1218,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
66.0,69.0,Phylloscopus collybita,Common Chiffchaff,0.2159,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
87.0,90.0,Parus major,Great Tit,0.3261,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
114.0,117.0,Parus major,Great Tit,0.1490,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
123.0,126.0,Parus major,Great Tit,0.1187,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
126.0,129.0,Phylloscopus collybita,Common Chiffchaff,0.1748,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
132.0,135.0,Parus major,Great Tit,0.1055,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
135.0,138.0,Phylloscopus collybita,Common Chiffchaff,0.1065,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
141.0,144.0,Parus major,Great Tit,0.1807,/Users/sm/Documents/ARTS/Soundscape_ecology/data/A025/20250426_060000.WAV
