Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Curruca curruca,Lesser Whitethroat,0.1447,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_200000.WAV
9.0,12.0,Sylvia atricapilla,Eurasian Blackcap,0.2358,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_200000.WAV
21.0,24.0,Sylvia atricapilla,Eurasian Blackcap,0.1521,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_200000.WAV
33.0,36.0,Picus viridis,Eurasian Green Woodpecker,0.1777,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_200000.WAV
36.0,39.0,Fulica atra,Eurasian Coot,0.1173,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_200000.WAV
51.0,54.0,Rallus aquaticus,Water Rail,0.1208,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_200000.WAV
57.0,60.0,Parus major,Great Tit,0.4780,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_200000.WAV
57.0,60.0,Emberiza schoeniclus,Reed Bunting,0.1489,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_200000.WAV
60.0,63.0,Emberiza schoeniclus,Reed Bunting,0.1672,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_200000.WAV
60.0,63.0,Phylloscopus collybita,Common Chiffchaff,0.1127,C:/Users/alfel/OneDrive/FELIX/Studium/Master/Soundscape Ecology/Report/Data processing/BirdNet analyzer/A026\20250427_200000.WAV
