Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1506,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
0.0,3.0,Jynx torquilla,Eurasian Wryneck,0.1236,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
3.0,6.0,Turdus merula,Eurasian Blackbird,0.2071,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
9.0,12.0,Turdus merula,Eurasian Blackbird,0.1071,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
9.0,12.0,Oriolus oriolus,Eurasian Golden Oriole,0.1008,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
12.0,15.0,Turdus merula,Eurasian Blackbird,0.3130,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
18.0,21.0,Turdus merula,Eurasian Blackbird,0.2567,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
27.0,30.0,Turdus merula,Eurasian Blackbird,0.2193,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
30.0,33.0,Turdus merula,Eurasian Blackbird,0.3202,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
33.0,36.0,Oriolus oriolus,Eurasian Golden Oriole,0.1586,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
36.0,39.0,Turdus merula,Eurasian Blackbird,0.3650,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
36.0,39.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1070,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
39.0,42.0,Turdus merula,Eurasian Blackbird,0.1165,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
42.0,45.0,Turdus merula,Eurasian Blackbird,0.2649,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
45.0,48.0,Turdus merula,Eurasian Blackbird,0.4601,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
48.0,51.0,Curruca communis,Greater Whitethroat,0.1427,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
51.0,54.0,Cyanistes caeruleus,Eurasian Blue Tit,0.1151,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
54.0,57.0,Curruca communis,Greater Whitethroat,0.1762,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
60.0,63.0,Turdus merula,Eurasian Blackbird,0.3290,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
63.0,66.0,Turdus merula,Eurasian Blackbird,0.5410,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
72.0,75.0,Curruca communis,Greater Whitethroat,0.1121,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
75.0,78.0,Curruca communis,Greater Whitethroat,0.1338,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
81.0,84.0,Turdus merula,Eurasian Blackbird,0.1042,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
84.0,87.0,Turdus merula,Eurasian Blackbird,0.1032,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
96.0,99.0,Turdus merula,Eurasian Blackbird,0.7007,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
99.0,102.0,Pyrrhula pyrrhula,Eurasian Bullfinch,0.3756,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
99.0,102.0,Turdus merula,Eurasian Blackbird,0.1087,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
102.0,105.0,Turdus merula,Eurasian Blackbird,0.3555,/Users/robbieleahy/Desktop/A034/20250428_060000.WAV
