Start (s),End (s),Scientific name,Common name,Confidence,File
42.0,45.0,Fulica atra,Eurasian Coot,0.1098,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
63.0,66.0,Fulica atra,Eurasian Coot,0.1288,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
75.0,78.0,Fulica atra,Eurasian Coot,0.1259,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
96.0,99.0,Fulica atra,Eurasian Coot,0.1103,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
213.0,216.0,Fulica atra,Eurasian Coot,0.1143,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
234.0,237.0,Fulica atra,Eurasian Coot,0.1029,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
264.0,267.0,Fulica atra,Eurasian Coot,0.1944,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
285.0,288.0,Erithacus rubecula,European Robin,0.1159,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
291.0,294.0,Fulica atra,Eurasian Coot,0.1845,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
357.0,360.0,Saxicola rubicola,European Stonechat,0.1056,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
390.0,393.0,Rallus aquaticus,Water Rail,0.2769,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
402.0,405.0,Rallus aquaticus,Water Rail,0.2062,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
402.0,405.0,Tachybaptus ruficollis,Little Grebe,0.1777,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
405.0,408.0,Rallus aquaticus,Water Rail,0.2018,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
405.0,408.0,Haematopus ostralegus,Eurasian Oystercatcher,0.1025,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
465.0,468.0,Fulica atra,Eurasian Coot,0.1053,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
507.0,510.0,Gallinula chloropus,Eurasian Moorhen,0.1031,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250428_230000.WAV
