"freq_khz","direction","intercept","slope","ambient_db","extinction_m"
0.5,"front",-6.24057249999996,-12.5391740744422,-63.6117670909091,97.0626589038058
0.5,"back",-6.63749765553585,-12.4258397520624,-63.6117670909091,98.0173388847027
2,"front",-10.9456915772328,-8.54779401073606,-69.5348442666667,947.94924283124
2,"back",-17.2606213496844,-8.08395991752009,-69.5348442666667,643.172477900904
4,"front",-2.99471850910836,-8.92155047624841,-71.0980788666667,2066.43256179484
4,"back",-10.838503730442,-9.18496058840372,-71.0980788666667,706.751191858886
8,"front",0.748808820178231,-9.53336621880778,-77.2437109333334,3572.4443058356
8,"back",-5.23623506288054,-10.5900418665358,-77.2437109333334,897.439681584412
12,"front",8.23936136963816,-12.0604587771184,-76.9710636666667,1170.60065477446
12,"back",-1.16499456230765,-12.8848056671945,-76.9710636666667,359.01681391799
16,"front",17.199648374811,-14.200270058836,-75.5037369,684.222568570236
16,"back",-0.84357710799133,-13.8073905563477,-75.5037369,223.019823338982
