"Scientific.name","Common.name","Confidence","Audio_ID","Site_ID"
"Certhia brachydactyla","Short-toed Treecreeper",0.664,"A030","8"
"Cyanistes caeruleus","Eurasian Blue Tit",0.9577,"A030","8"
"Sylvia atricapilla","Eurasian Blackcap",0.6811,"A030","8"
"Phylloscopus collybita","Common Chiffchaff",0.5842,"A030","8"
"Turdus merula","Eurasian Blackbird",0.7818,"A030","8"
"Picus viridis","Eurasian Green Woodpecker",0.9117,"A030","8"
"Chroicocephalus ridibundus","Black-headed Gull",0.5222,"A030","8"
"Phasianus colchicus","Ring-necked Pheasant",0.9668,"A030","8"
"Columba palumbus","Common Wood-Pigeon",0.5463,"A030","8"
"Parus major","Great Tit",0.5589,"A030","8"
"Coccothraustes coccothraustes","Hawfinch",0.9796,"A030","8"
"Sylvia borin","Garden Warbler",0.6494,"A030","8"
"Curruca communis","Greater Whitethroat",0.5482,"A030","8"
"Motacilla cinerea","Gray Wagtail",0.9533,"A030","8"
"Motacilla alba","White Wagtail",0.9097,"A030","8"
"Fringilla coelebs","Common Chaffinch",0.7374,"A030","8"
"Oriolus oriolus","Eurasian Golden Oriole",0.6895,"A030","8"
"Regulus ignicapilla","Common Firecrest",0.9646,"A030","8"
"Troglodytes troglodytes","Eurasian Wren",0.5826,"A030","8"
"Anas crecca","Green-winged Teal",0.5189,"A030","8"
"Carduelis carduelis","European Goldfinch",0.9312,"A030","8"
"Anser anser","Graylag Goose",0.6789,"A030","8"
"Corvus corone","Carrion Crow",0.5476,"A030","8"
"Branta canadensis","Canada Goose",0.584,"A030","8"
"Anas platyrhynchos","Mallard",0.5207,"A030","8"
"Buteo buteo","Common Buzzard",0.5257,"A030","8"
"Turdus philomelos","Song Thrush",0.6575,"A030","8"
"Actitis hypoleucos","Common Sandpiper",0.6005,"A030","8"
"Grus grus","Common Crane",0.5517,"A030","8"
"Luscinia megarhynchos","Common Nightingale",0.7955,"A030","8"
"Streptopelia decaocto","Eurasian Collared-Dove",0.5042,"A030","8"
"Turdus viscivorus","Mistle Thrush",0.5525,"A030","8"
"Cuculus canorus","Common Cuckoo",0.7343,"A030","8"
"Bucephala clangula","Common Goldeneye",0.5359,"A030","8"
"Gallinula chloropus","Eurasian Moorhen",0.9049,"A030","8"
"Falco tinnunculus","Eurasian Kestrel",0.5579,"A030","8"
"Corvus cornix","Hooded Crow",0.5838,"A030","8"
"Sitta europaea","Eurasian Nuthatch",0.5908,"A030","8"
"Anthus trivialis","Tree Pipit",0.5386,"A030","8"
"Aegithalos caudatus","Long-tailed Tit",0.5486,"A030","8"
"Garrulus glandarius","Eurasian Jay",0.5441,"A030","8"
"Numenius arquata","Eurasian Curlew",0.8335,"A030","8"
"Rallus aquaticus","Water Rail",0.6368,"A030","8"
"Hirundo rustica","Barn Swallow",0.5876,"A030","8"
"Dendrocopos major","Great Spotted Woodpecker",0.7464,"A030","8"
"Tringa ochropus","Green Sandpiper",0.6106,"A030","8"
"Prunella modularis","Dunnock",0.7748,"A030","8"
"Erithacus rubecula","European Robin",0.6151,"A030","8"
"Chloris chloris","European Greenfinch",0.8295,"A030","8"
"Corvus monedula","Eurasian Jackdaw",0.8383,"A030","8"
