"Scientific.name","Common.name","Confidence","Audio_ID","Site_ID"
"Oenanthe oenanthe","Northern Wheatear",0.1397,"A026","19"
"Streptopelia decaocto","Eurasian Collared-Dove",0.1059,"A026","19"
"Turdus merula","Eurasian Blackbird",0.3459,"A026","19"
"Picus viridis","Eurasian Green Woodpecker",0.1882,"A026","19"
"Motacilla flava","Western Yellow Wagtail",0.7736,"A026","19"
"Streptopelia turtur","European Turtle-Dove",0.6214,"A026","19"
"Alauda arvensis","Eurasian Skylark",0.2878,"A026","19"
"Saxicola rubicola","European Stonechat",0.1265,"A026","19"
"Curruca communis","Greater Whitethroat",0.1261,"A026","19"
"Prunella modularis","Dunnock",0.2497,"A026","19"
"Spinus spinus","Eurasian Siskin",0.3136,"A026","19"
"Cygnus olor","Mute Swan",0.2242,"A026","19"
"Corvus corone","Carrion Crow",0.1658,"A026","19"
"Anthus trivialis","Tree Pipit",0.176,"A026","19"
"Sturnus vulgaris","European Starling",0.1664,"A026","19"
"Tringa totanus","Common Redshank",0.2322,"A026","19"
"Charadrius hiaticula","Common Ringed Plover",0.1145,"A026","19"
"Emberiza citrinella","Yellowhammer",0.1311,"A026","19"
"Delichon urbicum","Common House-Martin",0.2259,"A026","19"
"Periparus ater","Coal Tit",0.1144,"A026","19"
"Sylvia atricapilla","Eurasian Blackcap",0.254,"A026","19"
"Carduelis carduelis","European Goldfinch",0.2836,"A026","19"
"Emberiza schoeniclus","Reed Bunting",0.1069,"A026","19"
"Phylloscopus collybita","Common Chiffchaff",0.1234,"A026","19"
"Saxicola rubetra","Whinchat",0.1117,"A026","19"
"Lullula arborea","Wood Lark",0.2441,"A026","19"
"Parus major","Great Tit",0.4644,"A026","19"
"Phylloscopus trochilus","Willow Warbler",0.139,"A026","19"
"Curruca curruca","Lesser Whitethroat",0.1159,"A026","19"
"Cyanistes caeruleus","Eurasian Blue Tit",0.2184,"A026","19"
"Phasianus colchicus","Ring-necked Pheasant",0.7476,"A026","19"
"Rallus aquaticus","Water Rail",0.1052,"A026","19"
"Apus apus","Common Swift",0.9405,"A026","19"
"Milvus milvus","Red Kite",0.1283,"A026","19"
"Thalasseus sandvicensis","Sandwich Tern",0.2115,"A026","19"
"Fulica atra","Eurasian Coot",0.1461,"A026","19"
"Pyrrhula pyrrhula","Eurasian Bullfinch",0.1183,"A026","19"
"Numenius phaeopus","Whimbrel",0.1075,"A026","19"
"Buteo buteo","Common Buzzard",0.1403,"A026","19"
"Actitis hypoleucos","Common Sandpiper",0.1226,"A026","19"
"Locustella luscinioides","Savi's Warbler",0.1653,"A026","19"
"Haematopus ostralegus","Eurasian Oystercatcher",0.1632,"A026","19"
"Turdus philomelos","Song Thrush",0.1129,"A026","19"
"Tringa nebularia","Common Greenshank",0.2029,"A026","19"
"Charadrius dubius","Little Ringed Plover",0.1193,"A026","19"
"Aegithalos caudatus","Long-tailed Tit",0.4894,"A026","19"
"Podiceps cristatus","Great Crested Grebe",0.1626,"A026","19"
"Muscicapa striata","Spotted Flycatcher",0.3632,"A026","19"
"Acrocephalus scirpaceus","Eurasian Reed Warbler",0.1072,"A026","19"
"Erithacus rubecula","European Robin",0.1037,"A026","19"
"Anas platyrhynchos","Mallard",0.2138,"A026","19"
"Corvus frugilegus","Rook",0.1167,"A026","19"
"Gallinula chloropus","Eurasian Moorhen",0.1071,"A026","19"
"Branta canadensis","Canada Goose",0.1195,"A026","19"
"Numenius arquata","Eurasian Curlew",0.2777,"A026","19"
"Ardea cinerea","Gray Heron",0.2086,"A026","19"
"Dendrocopos major","Great Spotted Woodpecker",0.2047,"A026","19"
"Vanellus vanellus","Northern Lapwing",0.1214,"A026","19"
"Calidris alpina","Dunlin",0.1,"A026","19"
"Dryocopus martius","Black Woodpecker",0.1253,"A026","19"
"Hippolais polyglotta","Melodious Warbler",0.1043,"A026","19"
"Locustella naevia","Common Grasshopper-Warbler",0.1177,"A026","19"
"Jynx torquilla","Eurasian Wryneck",0.1028,"A026","19"
"Motacilla alba","White Wagtail",0.9335,"A026","19"
"Emberiza calandra","Corn Bunting",0.1255,"A026","19"
"Sylvia borin","Garden Warbler",0.1447,"A026","19"
"Corvus monedula","Eurasian Jackdaw",0.1441,"A026","19"
"Anthus pratensis","Meadow Pipit",0.1131,"A026","19"
"Luscinia megarhynchos","Common Nightingale",0.1199,"A026","19"
"Chloris chloris","European Greenfinch",0.1389,"A026","19"
"Phoenicurus ochruros","Black Redstart",0.1084,"A026","19"
"Columba palumbus","Common Wood-Pigeon",0.1901,"A026","19"
"Oriolus oriolus","Eurasian Golden Oriole",0.2765,"A026","19"
"Anas crecca","Green-winged Teal",0.132,"A026","19"
"Chroicocephalus ridibundus","Black-headed Gull",0.1801,"A026","19"
"Linaria cannabina","Eurasian Linnet",0.1045,"A026","19"
"Luscinia svecica","Bluethroat",0.1608,"A026","19"
