Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Hirundo rustica,Barn Swallow,0.2125,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
6.0,9.0,Phylloscopus collybita,Common Chiffchaff,0.7050,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
9.0,12.0,Phylloscopus collybita,Common Chiffchaff,0.7910,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
12.0,15.0,Phylloscopus collybita,Common Chiffchaff,0.6759,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
18.0,21.0,Phylloscopus collybita,Common Chiffchaff,0.4745,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
21.0,24.0,Phylloscopus collybita,Common Chiffchaff,0.6198,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
24.0,27.0,Phylloscopus collybita,Common Chiffchaff,0.3840,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
30.0,33.0,Phylloscopus collybita,Common Chiffchaff,0.8577,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
33.0,36.0,Phylloscopus collybita,Common Chiffchaff,0.6693,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
42.0,45.0,Phylloscopus collybita,Common Chiffchaff,0.5501,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
45.0,48.0,Phylloscopus collybita,Common Chiffchaff,0.9179,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
48.0,51.0,Phylloscopus collybita,Common Chiffchaff,0.7631,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
51.0,54.0,Charadrius dubius,Little Ringed Plover,0.1693,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
54.0,57.0,Phylloscopus collybita,Common Chiffchaff,0.7993,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
57.0,60.0,Phylloscopus collybita,Common Chiffchaff,0.8107,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
60.0,63.0,Phylloscopus collybita,Common Chiffchaff,0.4088,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
63.0,66.0,Phylloscopus collybita,Common Chiffchaff,0.9294,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
66.0,69.0,Phylloscopus collybita,Common Chiffchaff,0.7320,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
69.0,72.0,Phylloscopus collybita,Common Chiffchaff,0.6232,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
72.0,75.0,Phylloscopus collybita,Common Chiffchaff,0.8447,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
78.0,81.0,Phylloscopus collybita,Common Chiffchaff,0.5484,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
81.0,84.0,Phylloscopus collybita,Common Chiffchaff,0.9387,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
84.0,87.0,Phylloscopus collybita,Common Chiffchaff,0.6539,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
87.0,90.0,Phylloscopus collybita,Common Chiffchaff,0.7377,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
90.0,93.0,Phylloscopus collybita,Common Chiffchaff,0.9230,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
93.0,96.0,Phylloscopus collybita,Common Chiffchaff,0.4035,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
99.0,102.0,Phylloscopus collybita,Common Chiffchaff,0.8307,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
102.0,105.0,Phylloscopus collybita,Common Chiffchaff,0.7879,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
105.0,108.0,Phylloscopus collybita,Common Chiffchaff,0.3222,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
108.0,111.0,Phylloscopus collybita,Common Chiffchaff,0.6900,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
117.0,120.0,Phylloscopus collybita,Common Chiffchaff,0.6813,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
120.0,123.0,Phylloscopus collybita,Common Chiffchaff,0.2517,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
123.0,126.0,Phylloscopus collybita,Common Chiffchaff,0.8802,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
129.0,132.0,Sylvia borin,Garden Warbler,0.2187,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
132.0,135.0,Phylloscopus collybita,Common Chiffchaff,0.8405,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
135.0,138.0,Phylloscopus collybita,Common Chiffchaff,0.2321,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
138.0,141.0,Delichon urbicum,Common House-Martin,0.2296,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
141.0,144.0,Phylloscopus collybita,Common Chiffchaff,0.3941,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
144.0,147.0,Phylloscopus collybita,Common Chiffchaff,0.8539,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
147.0,150.0,Passer domesticus,House Sparrow,0.1338,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
150.0,153.0,Phylloscopus collybita,Common Chiffchaff,0.6114,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
150.0,153.0,Passer domesticus,House Sparrow,0.1149,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
153.0,156.0,Phylloscopus collybita,Common Chiffchaff,0.6291,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
156.0,159.0,Passer domesticus,House Sparrow,0.3137,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
159.0,162.0,Phylloscopus collybita,Common Chiffchaff,0.6898,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
162.0,165.0,Phylloscopus collybita,Common Chiffchaff,0.5320,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
165.0,168.0,Passer domesticus,House Sparrow,0.1144,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
171.0,174.0,Passer domesticus,House Sparrow,0.2944,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
174.0,177.0,Passer domesticus,House Sparrow,0.2157,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
177.0,180.0,Phylloscopus collybita,Common Chiffchaff,0.1978,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
180.0,183.0,Phylloscopus collybita,Common Chiffchaff,0.5347,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
183.0,186.0,Passer domesticus,House Sparrow,0.1799,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
186.0,189.0,Passer domesticus,House Sparrow,0.1473,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
189.0,192.0,Phylloscopus collybita,Common Chiffchaff,0.4470,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
189.0,192.0,Passer domesticus,House Sparrow,0.1969,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
192.0,195.0,Phylloscopus collybita,Common Chiffchaff,0.7246,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
195.0,198.0,Passer domesticus,House Sparrow,0.1423,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
198.0,201.0,Phylloscopus collybita,Common Chiffchaff,0.1277,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
201.0,204.0,Phylloscopus collybita,Common Chiffchaff,0.9151,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
204.0,207.0,Passer domesticus,House Sparrow,0.2253,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
210.0,213.0,Phylloscopus collybita,Common Chiffchaff,0.8637,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
213.0,216.0,Passer domesticus,House Sparrow,0.2024,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
216.0,219.0,Phylloscopus collybita,Common Chiffchaff,0.2457,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
216.0,219.0,Sylvia atricapilla,Eurasian Blackcap,0.1008,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
219.0,222.0,Phylloscopus collybita,Common Chiffchaff,0.8766,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
225.0,228.0,Phylloscopus collybita,Common Chiffchaff,0.6805,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
228.0,231.0,Phylloscopus collybita,Common Chiffchaff,0.4964,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
231.0,234.0,Phylloscopus collybita,Common Chiffchaff,0.1006,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
234.0,237.0,Carduelis carduelis,European Goldfinch,0.5015,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
234.0,237.0,Passer domesticus,House Sparrow,0.1178,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
237.0,240.0,Phylloscopus collybita,Common Chiffchaff,0.6086,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
240.0,243.0,Passer domesticus,House Sparrow,0.1135,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
243.0,246.0,Passer domesticus,House Sparrow,0.2871,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
246.0,249.0,Passer domesticus,House Sparrow,0.2457,/Users/sm/Documents/ARTS/Soundscape_ecology/data/XA23/20250426_130000.WAV
